fid;objectid;ccod_cact;iidtn_frt;llib_frt;cdom_frt;cinse_dep;layer;path;area;frt_com;area_ha;CodeINSEE;coordX;coordY;geo_shape
3390;"3905";"8450";F24921M;For�t communale d'Arquian;NON;"58";rdf_pub.frt_reg27;D:/sig/Couches_brutes/Vecteurs/ONF/Foret_publique_2022/rdf_pub.frt_reg27.shp;"603931";"1";"60";"58012";3.0162286892;47.5427005819;"MultiPolygon (((700616.9 6715547.6, 700625.9 6715546, 700632.9 6715544.5, 700655.4 6715522.9, 700694 6715529.2, 700694.5 6715"
4779;"9090";"8683";F03703K;For�t communale de Brennes;NON;"52";rdf_pub.frt_reg44;D:/sig/Couches_brutes/Vecteurs/ONF/Foret_publique_2022/rdf_pub.frt_reg44.shp;"117416";"1";"12";"52070";5.2841428569;47.7964992202;"MultiPolygon (((871069.8 6745399.8, 871055.4 6745421.7, 871038 6745448.5, 871028.1 6745467.3, 871019.3 6745487.1, 871011.5 67"
4926;"9152";"8683";F03782L;For�t communale de Breuvannes;NON;"52";rdf_pub.frt_reg44;D:/sig/Couches_brutes/Vecteurs/ONF/Foret_publique_2022/rdf_pub.frt_reg44.shp;"358280";"1";"36";"52074";5.6104442845;48.0799400245;"MultiPolygon (((897887.7 6777419.9, 897881.8 6777438.7, 897861.5 6777468.6, 897820.2 6777530.4, 897769.655223 6777640.143135,"
5021;"9248";"8683";F03893S;For�t communale de Brethenay;NON;"52";rdf_pub.frt_reg44;D:/sig/Couches_brutes/Vecteurs/ONF/Foret_publique_2022/rdf_pub.frt_reg44.shp;"1636479";"1";"164";"52072";5.1450739901;48.1552062015;"MultiPolygon (((856666 6785138.5, 856662.7 6785147.7, 856659.3 6785157.2, 856652.2 6785174.3, 856650.1 6785180.3, 856647.5 67"
4708;"8921";"8683";F03512B;For�t communale de Briaucourt;NON;"52";rdf_pub.frt_reg44;D:/sig/Couches_brutes/Vecteurs/ONF/Foret_publique_2022/rdf_pub.frt_reg44.shp;"1878154";"1";"188";"52075";5.2036383036;48.2006897989;"MultiPolygon (((862432.4 6790677.6, 862401.6 6790649.6, 862411.4 6790636.3, 862574.5 6790456.3, 862565.3 6790446.6, 862587 67"
4676;"8889";"8683";F03477S;For�t communale de Bricon;NON;"52";rdf_pub.frt_reg44;D:/sig/Couches_brutes/Vecteurs/ONF/Foret_publique_2022/rdf_pub.frt_reg44.shp;"737206";"1";"74";"52076";4.9790413205;48.0919314859;"MultiPolygon (((847620.7 6778212.2, 847665.4 6778227, 847735.5 6778247.9, 847807.4 6778265.1, 847789.8 6778221.2, 847779.1 67"
3320;"3825";"8450";F24834D;For�t communale de Cerisiers;NON;"89";rdf_pub.frt_reg27;D:/sig/Couches_brutes/Vecteurs/ONF/Foret_publique_2022/rdf_pub.frt_reg27.shp;"2823385";"1";"282";"89066";3.5182625580;48.1040803141;"MultiPolygon (((737417.7 6777875.4, 737288.5 6778007.4, 737322.5 6778014, 737341.7 6778013.3, 737381.4 6778010.1, 737441.6 67"
9212;"1615";"8365";F49445S;For�t communale de Saint Martial D'Artenset;NON;"24";rdf_pub.frt_reg75;D:/sig/Couches_brutes/Vecteurs/ONF/Foret_publique_2022/rdf_pub.frt_reg75.shp;"262678";"1";"26";"24449";0.2094511793;44.9895413662;"MultiPolygon (((479794.7 6435950.3, 479798.7 6435957.6, 479800.9 6435965.2, 479796.7 6435970.4, 479794 6435970.4, 479783.9 64"
3710;"4268";"8450";F25338N;For�t communale de Chamoux;NON;"89";rdf_pub.frt_reg27;D:/sig/Couches_brutes/Vecteurs/ONF/Foret_publique_2022/rdf_pub.frt_reg27.shp;"2446404";"1";"245";"89071";3.6604649172;47.4582697190;"MultiPolygon (((750877.3 6706273.5, 750908 6706257, 750936 6706225.9, 750947 6706212.9, 750974.3 6706174.4, 750979 6706115.3,"
13117;"13352";"8805";F19142F;For�t communale de Julienas;NON;"69";rdf_pub.frt_reg84;D:/sig/Couches_brutes/Vecteurs/ONF/Foret_publique_2022/rdf_pub.frt_reg84.shp;"152635";"1";"15";"69035";4.6610322608;46.2610332228;"MultiPolygon (((826102.5 6574017.8, 826091.8 6574017.3, 826069.2 6574019.4, 826050.4 6574027.1, 826067.3 6574090.4, 826098.2"
